time,event,player1,player2,score,position
3:17,s,,,,4
3:19,b,a,a,,4
3:28,s,,,,4
3:29,a,r,a,2,3
3:47,s,,,,4
3:48,b,a,a,,4
3:57,s,,,,4
3:58,b,a,a,,4
4:07,s,,,,4
4:08,a,a,a,2,4
4:22,s,,,,4
4:23,b,a,a,,4
4:31,s,,,,4
4:32,pr,pr,a,1,3
4:49,s,,,,4
4:50,a,a,a,2,4
5:09,s,,,,4
5:14,a,p,a,2,1
5:38,s,,,,4
5:39,b,a,a,,4
5:48,s,,,,4
5:49,r,a,r,,5
5:54,a,p,a,2,1
6:15,s,,,,4
6:16,a,a,a,1,4
6:33,s,,,,4
6:34,a,a,a,2,4
6:46,s,,,,4
6:51,a,p,a,2,1
7:12,s,,,,4
7:13,a,a,p,1,4
7:28,s,,,,4
7:29,b,a,a,,4
7:48,s,,,,4
7:50,a,a,r,1,6
8:14,s,,,,4
8:16,r,a,r,,5
8:18,a,a,a,2,4
9:48,s,,,,4
9:49,b,a,a,,4
9:57,s,,,,4
9:58,f,a,f,,4
9:59,a,a,a,1,5
10:26,s,,,,4
10:27,a,a,a,1,4
11:00,s,,,,4
11:01,a,a,a,1,5
11:22,s,,,,4
11:23,b,a,a,,4
11:39,s,,,,4
11:40,pr,pr,a,1,5
11:57,s,,,,4
11:58,pr,a,pr,2,5
12:37,s,,,,4
12:38,f,a,f,,5
12:40,a,p,a,2,4
12:54,s,,,,4
12:55,pr,pr,a,1,3
13:16,s,,,,4
13:17,b,a,a,,4
13:29,s,,,,4
13:30,a,a,a,1,4
13:55,s,,,,4
13:56,a,a,a,1,4
15:29,s,,,,4
15:30,b,a,a,,4
15:41,s,,,,4
15:42,i,a,pr,,4
16:30,s,,,,4
16:31,a,a,p,1,4
16:48,s,,,,4
16:49,a,a,ra,2,4
17:44,s,,,,4
17:46,a,a,r,1,5
18:11,s,,,,4
18:12,i,r,a,,4
18:37,s,,,,4
18:38,pr,pr,a,1,4
19:01,s,,,,4
19:02,pr,pr,a,1,4
